CMDLINE C:\Users\SubhashSharma\anaconda3\python.exe 17.py
MEM 1.601562 1686230043.7152
MEM 10.562500 1686230043.8243
MEM 17.183594 1686230043.9380
MEM 22.343750 1686230044.0473
MEM 26.597656 1686230044.1579
MEM 30.519531 1686230044.2700
MEM 33.582031 1686230044.3806
MEM 36.468750 1686230044.4913
MEM 38.109375 1686230044.6021
MEM 41.984375 1686230044.7133
MEM 45.656250 1686230044.8256
MEM 48.980469 1686230044.9291
MEM 55.230469 1686230045.0374
MEM 60.164062 1686230045.1457
MEM 62.890625 1686230045.2590
MEM 65.843750 1686230045.3658
MEM 70.023438 1686230045.4757
MEM 73.781250 1686230045.5848
MEM 76.074219 1686230045.6855
MEM 77.406250 1686230045.8005
MEM 77.734375 1686230045.9042
MEM 77.953125 1686230046.0155
MEM 77.953125 1686230046.1269
MEM 77.953125 1686230046.2385
MEM 77.953125 1686230046.3415
MEM 77.953125 1686230046.4536
MEM 77.953125 1686230046.5654
MEM 77.953125 1686230046.6758
MEM 77.953125 1686230046.7905
MEM 77.953125 1686230046.9061
MEM 77.953125 1686230047.0167
MEM 77.953125 1686230047.1268
MEM 77.953125 1686230047.2385
MEM 77.953125 1686230047.3511
MEM 77.953125 1686230047.4619
MEM 77.972656 1686230047.5689
MEM 74.785156 1686230047.6742
